Date,Revenue ,NET Income ,Ad Spent ,Products launched,Profit Margins
2016-01-01,800653,320261.2,160130.6,1,0.4
2016-02-01,850654,340261.6,212663.5,0,0.4
2016-03-01,856856,342742.4,231351.12,0,0.4
2016-04-01,920735,340671.95,276220.5,1,0.37
2016-05-01,,,,,
2016-06-01,823676,304760.12,197682.24,0,0.37
2016-07-01,840981,353212.02,185015.82,0,0.42
2016-08-01,745434,260901.9,223630.2,0,0.35
2016-09-01,904534,316586.9,298496.22,1,0.35
2016-10-01,,,,,
2016-11-01,923545,369418,314005.3,3,0.4
2016-12-01,793242,317296.8,158648.4,1,0.4
2017-01-01,1003452,331139.16,361242.72,0,0.33
2017-02-01,,,,,
2017-03-01,1042321,343965.93,364812.35,1,0.33
2017-04-01,1094231,328269.3,426750.09,2,0.3
2017-05-01,1204324,361297.2,481729.6,1,0.3
2017-06-01,1452343,435702.9,580937.2,2,0.3
2017-07-01,1567234,470170.2,548531.9,1,0.3
2017-08-01,1632454,440762.58,489736.2,3,0.27
2017-09-01,,,,,
2017-10-01,1794312,484464.24,574179.84,0,0.27
2017-11-01,1954234,527643.18,781693.6,1,0.27
2017-12-01,2104352,568175.04,757566.72,0,0.27
2018-01-01,1582345,474703.5,537997.3,0,0.3
