Date,Revenue,NET Income,Ad Spent,Products launched,Profit Margins
2016-01-01,2500000,1250000.0,750000.0,1,0.5
2016-02-01,2570000,1285000.0,771000.0,2,0.5
2016-03-01,2578568,1289284.0,773570.4,2,0.5
2016-04-01,2599087,1299543.5,779726.1,1,0.5
2016-05-01,2645678,1137641.54,661419.5,0,0.43
2016-06-01,2567896,1104195.28,641974.0,0,0.43
2016-07-01,2694354,1158572.22,673588.5,0,0.43
2016-08-01,2865456,1232146.08,716364.0,2,0.43
2016-09-01,2987230,1194892.0,985785.9,1,0.4
2016-10-01,3034543,1213817.2,1031744.62,2,0.4
2016-11-01,2456545,982618.0,736963.5,1,0.4
2016-12-01,2354345,941738.0,635673.15,0,0.4
2017-01-01,2002323,800929.2,500580.75,0,0.4
2017-02-01,2654565,1061826.0,769823.85,0,0.4
2017-03-01,2565430,1000517.7,692666.1,3,0.39
2017-04-01,2434543,949471.77,584290.32,2,0.39
2017-05-01,2003230,781259.7,400646.0,0,0.39
2017-06-01,2134543,832471.77,426908.6,0,0.39
2017-07-01,1932320,927513.6,328494.4,1,0.48
2017-08-01,1345432,645807.36,228723.44,2,0.48
2017-09-01,1564354,750889.92,234653.1,4,0.48
2017-10-01,1234543,592580.64,185181.45,2,0.48
2017-11-01,1002321,481114.08,150348.15,1,0.48
2017-12-01,1809675,723870.0,470515.5,0,0.4
2018-01-01,2087567,793275.46,584518.76,0,0.38
